보증_고유키,상품설명
보증_364,"기초생활수급자, 소년소녀가장, 근로장려금 수급자, 한부모가족지원 보호대상자, 다문화가정부부, 청년내일채움공제 가입중인 자, 장애인의 목돈 마련을 위한 상품입니다."
보증_365,만 19세 미만 미성년자 대상으로 첫 거래고객 등에 우대이율을 제공하는 자유적립식 상품
보증_366,매월 일정액 납입으로 목돈 마련할수 있는 저축 상품
보증_367,최장 15년 이내에서 1년 단위로 자동재예치 되는 정기예금 상품
보증_368,"직장인, 사업자, 주부 등 가입자격에 상관없이 누구나 가입 가능하고, 본인에게 가장 적합한 거래조건 충족시 수수료 우대서비스를 제공하는 입출금이자유로운예금"
보증_369,입출금이 자유로운 통장식 예금입니다.
보증_370,장병의 목돈 마련을 지원하는 적립식 예금상품
보증_371,하루만 맡겨도 100만원까지 연 최대 3% 이자를 드려요
보증_372,단 하루를 맡기셔도 금액별로 정한 이자를 받을 수 있고 입출금도자유롭게 할 수 있는 MMDA형 상품입니다.
보증_373,가계의 단기자금을 맡기고자 할때 적합한 입출금이 자유로운 통장식 예금입니다.
보증_374,사업자 등록증을 소지한 사업자 특화 적립식 상품으로 당행 거래실적에 따라 다양한 우대 금리를 제공하는 적립식 예금상품입니다.
보증_375,예금잔액별 차등금리를 적용하는 예금으로 예금잔고 범위 내에서 수시 입출금거래가 가능한 상품입니다.
보증_376,입금되는 공무원연금에 대하여 압류 및 상계 등이 방지되는 입출금 상품입니다.
보증_377,압류방지 전용통장입니다.
보증_378,법인고객에게 수수료 우대혜택을 제공하는 법인전용 입출금이자유로운예금
보증_379,지방은행 전 영업점에서 입출금 거래를 할 수 있는 편리한 종합통장식 예금입니다.
보증_380,입금횟수에 제한없이 수시로 입금할수있는 기한부 자유 적립식 저축입니다.
보증_381,개인사업자 전용 입출금식 통장
보증_382,"아파트관리비를 납부하는 아파트 입주민과 집금계좌를 사용하는 관리사무소에 수수료면제, 발전기금 출연 등 우대서비스를 제공하는입출금 통장입니다."
보증_383,"국민연금 급여가 생활비로 사용될 수 있도록 압류가 금지되고, 연금수령 실적이 있는 경우 수수료 면제 서비스를 제공하는 국민연금 압류 방지 입출금이 자유로운 통장입니다."
보증_384,산재보험금 수급자의 수급권을 보호하기 위한 압류방지 전용통장
보증_385,"외국인근로자, 유학생 부모 등이 해외 송금시 금액 및 송금일을 다양하게 지정하여 자동이체가 가능한 해외송금 전용통장입니다."
보증_386,당좌수표와 약속어음을 발행하여 각종 지급수단으로 사용할 수 있는 예금으로 필요한 경우에는 대출도 받을 수 있는 편리한 예금입니다.
보증_387,"군인연금 급여가 생활비로 사용될 수 있도록 압류가 금지되고, 군인연금 수령 실적이 있는 경우 수수료 면제서비스를 제공하는 군인연금 압류방지 전용통장"
보증_388,선거에 출마하는 입후보자를 위해 우대서비스를 제공하는 입출금이 자유로운 예금
보증_389,"가계 또는 상거래상 안전,편의를 위해 금전출납을 은행에 대행시키고자 그 지급자금을 예치하고"
보증_390,기명할인식으로 발행되어 배서로 제 3자에게 양도할 수 있는 상품입니다.
보증_391,은행이 보유하고 있는 매도대상 유가증권을 담보로 하여 고객의 여유자금을 운용하고 만기일에 약정이자를 지급하는 상품입니다.
보증_392,"통장식 또는 무기명 할인식으로 발행이 되는 예금이며, 무기명 할인식으로 발행될 경우에는 자유롭게 제3자에게 양도할 수 있는 증서식 예금입니다. 통장식의 경우 제3자에게 양도시 은행의 동의 필요"
보증_393,근로자퇴직급여보장법에 의한 원리금 보장 상품으로 운용하고자 하는 고객에게 적합한 상품
보증_394,개인사업자 및 법인고객 전용 상품
보증_395,개인사업자 및 법인고객 전용 상품
보증_396,구직촉진수당 등 관련 법령에 의거한 수급금만 입금이 가능한 압류방지 전용 입출금이 자유로운 예금
보증_397,새마을금고 스마트뱅킹 앱인 MG더뱅킹에서만 가입이 가능한 상품으로 거래실적에 따른 우대금리를 제공하는 자유적립식예금
보증_398,새마을금고 스마트뱅킹 앱인 MG더뱅킹에서만 가입이 가능한 상품으로 거래실적에 따른 우대금리를 제공하는 정액적립식예금
보증_399,새마을금고 스마트뱅킹 앱인 MG더뱅킹에서만 가입이 가능한 상품으로 거래실적에 따른 우대금리를 제공하는 거치식예금
보증_400,만 50세 이상 만 70세 미만(5060세대) 황혼육아를 담당하는 등의 ＇제2의 청춘＇ 분들을 일정조건 충족 시 우대(우대이율+수수료 혜택)하는 입출금이자유로운예금
보증_401,영유아 및 아동(만6세 이하) 등을 가입대상으로 하며 계약기간동안 매월 일정한 날에 일정금액을 정기적으로 납입하고 만기일에 이자와 원금을 지급하는 정액적립식 예금
보증_402,비대면 실명확인을 거친 후 비대면개설 한도제한계좌로 가입이 가능하며 일정 요건 달성시 수수료 면제서비스를 제공하는 입출금이 자유로운 예금을 말한다.
보증_403,군인연금급여만 입금이 가능한 군인연금 압류방지전용 입출금이 자유로운 예금
보증_404,꿈을 실현하기 위하여 출발하는 청장년층을 가입대상으로 하며 계약기간 동안 매월 일정한 날에 일정금액을납입하고 만기일에 이자와 원금을 지급받는 정액적립식 예금
보증_405,산재보험급여만 입금이 가능한 산재보험급여 압류방지전용 입출금이 자유로운 예금
보증_406,계약기간을 마음대로(일단위) 지정할 수 있는 거치식 예탁금(3년 내)
보증_407,회전주기별 변동금리 및 회전주기별 거래실적에 따라 우대금리를 적용
보증_408,보훈 관련 5개법률에서 정하는 보훈급여금 및 수당만 입금이 가능한 압류방지전용 입출금이 자유로운 예금.
보증_409,"이 예금은 월평잔, MG체크카드 결제실적, 공과금 자동이체, 아파트관리비 자동이체,급여이체, 대출 이용실적 등에 대한 일정 조건에 해당하는 경우 수수료 면제서비스 제공과 금고가 정하는 잔액구간별 이율을 적용하는 입출금이 자유로운 예금을 말한다."
보증_410,"새마을금고와 주거래(장기 출자, MG체크카드, 공과금 자동이체, 급여 또는 4대연금 이체, 공제료이체, 대출 거래)를 하는 고객에게 실적에 따라 우대이율을 제공하는 자유적립식 적금 상품"
보증_411,일정조건에 해당되는 경우 수수료 면제 서비스 제공과 우대이율을 적용하고 통장에 가계부 기능을 도입한 여성전용 입출금이 자유로운 예금
보증_412,거치식이면서 추가입금 및 건별인출이 가능한 복합형태의 예금
보증_413,직장인들을 위한 급여수령 전용 통장으로 일정요건을 만족시 각종 수수료 우대서비스를 제공하는 입출금이 자유로운 예금
보증_414,"평잔, MG체크카드, 공과금자동이체, 아파트관리비, 적립식적금 자동이체, 4대연금 입금실적 등 생활비 자금의 거래실적에 따른 수수료 우대서비스를 제공하는 입출금이 자유로운 예금"
보증_415,일정조건에 따라 수수료면제 및 우대이율이 적용되는 20대 전용 입출금이 자유로운 예금
보증_416,"자영업자, 신용카드 가맹점, 온누리상품권 취급가맹점 등 개인사업자 전용상품으로서 일정조건에 따라 수수료면제가 적용되는 입출금이 자유로운 예금"
보증_417,"조달청, 서울시, 기타지방자치단체 및 공공기관을 통해 발주한 공사 등 도급계약과 관련한 대금, 임금 등이 하도급자 및 근로자에게 기한 내에 집행될 수 있도록 관리하기 위하여 조달청이 제공하는 “정부계약 하도급 관리시스템(하도급지킴이시스템)”을 이용하기 위한 전용통장"
보증_418,계약기간 내에서 회전주기 단위로 이율이 변동 적용되는 정기예탁금
보증_419,국민연금급여만 입금이 가능한 국민연금 압류방지전용 입출금이 자유로운 예금
보증_420,"MG체크카드 최초신규, 인터넷뱅킹 최초신규, 공과금자동이체 실적, 신규회원(출자금 개설) 등 가입 조건에 따라 최대 0.3%~0.5%까지 우대이율이 제공되는정액적립식 예금"
보증_421,"월복리로 이자를 계산해 주는 자유적립식 예금으로 가입조건에 따라 최대 연 0.3%~0.5%까지 우대이율이제공되며 스마트뱅킹, 인터넷뱅킹에서만 가입이가능한 온라인전용상품"
보증_422,"매 납입액을 월복리로 계산하며 가입조건에 따라 최대 0.7%까지 우대이율이 제공되며 총납입액 3,000만원 한도 내에서 납입횟수에 제한이 없는 자유적립 적금"
보증_423,"가입금고의 신규회원에게 우대이율을 지급하며,모집금액 달성 및 가입금액별로 차등이율이 적용되는 정기예금"
보증_424,압류가 되지 않는 기초생활수급자 급여수령 전용 입출금이 자유로운 예금
보증_425,"12개월 회전주기로 이율이 변동되는 상품으로회전기간 가산이율 및 졸업, 학교장명의 상장수상,자원봉사 등의 사유발생시 가산이율을 적용하는 적금"
보증_426,금액에 따라 차등이율이 적용되는 수시입출금식 예금
보증_427,3년이상 불입 후 중도해지하여도 3년에 대해서는 정상이율 지급하는 상품
보증_428,"거래대상자, 금액에 제한없이 언제나 입출금이 가능한수시입출금식 예금금액, 기간 등에 관계없이 단일 이율 적용"
보증_429,"거래대상자, 금액에 제한없이 언제나 입출금이 가능한수시입출금식 예금"
보증_430,금액에 따라 차등이율이 적용되는 수시입출금식 예금
보증_431,매일매일 적립하거나 파출수납을 활용하여 저축할수 있는 예금으로 단기 목돈 마련이 가능한 자유적립식 예금
보증_432,불특정금액을 수시로 납입하였다가 만기에 목돈을 받는 예금
보증_433,계약기간동안 일정한 날에 일정 금액을 정기적으로 납입하고 원리금을 받는 예금
보증_434,일정금액을 일정기간동안 예치하고 만기에 이자와원금을 지급하는 기한부 예금
보증_435,"1~2개월 초단기, 최고 연 5%의 고금리가 제공되는 재미요소 가미된 모바일 전용 적금상품"
보증_436,"종이통장 미발행, 친환경 활동 및 기부 참여 시 우대혜택 제공과 환경보호 캠페인을 추진하는 ESG연계 정기예금"
보증_437,"&#034중년층 고객을 위한 우대이율 및 부가서비스 제공과 추가입금, 분할해지,자동 재예치 서비스로 효율적 목돈 관리를 제공하는 정기예금&#034"
보증_438,"&#034보너스 입금, 비상금 출금, 자동 재예치, 만기 자동해지 서비스로 편리한목돈 활용이 가능한 디지털 정기예금&#034"
보증_439,매일매일 쉽고 간편하게 저축하기
보증_440,"여행자금, 모임 등 목돈 마련을 위해 여럿이 함께 저축 할수록 우대혜택이 커지고 다양한 우대 서비스를 제공하는 적립식 예금상품"
보증_441,"대학생ㆍ취업준비생ㆍ사회초년생의 안정적인 사회 진출 지원을 위해 금리우대, 수수료 면제, 창구소포할인쿠폰 등 우체국만의 다양한 특별혜택을 제공하는 청년우대 공익 상품"
보증_442,"우편 계약고객(우체국택배, 쇼핑, EMS) 및 예금 우수고객을 우대하고, 회전기간별 변동금리, 이자수령 등으로 고객의 탄력적인 목돈운용이 가능한 정기예금"
보증_443,PostPay를 통한 간편결제 및 간편송금 이용 실적에 따른 우대혜택 및 소상공인ㆍ소기업대표에게 우대금리를 제공하는 통장
보증_444,"금융 소외계층인 시니어 고객 대상으로 기초연금, 급여, 용돈 수령 및 체크카드 이용 시 다양한 서비스를 제공하는 특화 통장"
보증_445,"우체국예금 장기고객, 우수고객을 우대하며 급여, 연금, 공과금 자동이체 등 주거래 실적에 따라 우대혜택이 커지는 적립식 상품"
보증_446,"우체국포인트를 제공하는 우체국 대표 수시입출식 통장, 조건 없는 베이직 패키지"
보증_447,"우체국포인트를 제공하는 우체국 대표 수시입출식 통장, 주니어 우대 패키지"
보증_448,"우체국포인트를 제공하는 우체국 대표 수시입출식 통장, 직장인 우대 패키지"
보증_449,"우체국포인트를 제공하는 우체국 대표 수시입출식 통장, 실버 우대 패키지"
보증_450,「근로자퇴직급여보장법」에서 정한 자산관리업무를 수행하는 퇴직연금사업자를 위한 전용 상품
보증_451,"단기간을 예치해도 높은 금리를 적용하는 고수익 상품으로 적당한 투자처를 찾기까지의 단기간 운영상품으로 유리하며, 예금액별로 금리를 차등 적용하는 기업 전용 입출금이 자유로운 예금"
보증_452,"20-40대 봉급생활자와 카드 가맹점, 법인 등의 안정적 자금운영을 위한 정기예금"
보증_453,"20-40대 봉급생활자와 신용카드 가맹점, 법인 등의 자유로운 목돈 마련을 위한 자유적립식 예금"
보증_454,500만원 이상 가입한 고객에게 우대이율을 제공하는 인터넷·스마트뱅킹 전용 정기예금 상품
보증_455,"통장 발행없이 인터넷뱅킹, 스마트뱅킹, 자동화기기 등 전자금융 채널로 거래할 수 있는 전자금융 전용 통장"
보증_456,가입기간을 자유롭게 선택할 수 있는 고객맞춤형 상품으로 자금운영에 유리한 정기예금
보증_457,금액별 차등 금리를 적용하는 입출금이 자유로운 단기 고금리 적용하는 개인 전용 MMDA통장
보증_458,일정기간 매월 일정금액을 납입하여 목돈 마련의 기회를 부여하는 적금 상품
보증_459,개인이 개설하는 예금으로서 예입과 지급이 자유로운 통장
보증_460,일정 금액을 일정기간을 동안 예치하는 정기예금 상품
보증_461,가입대상에 제한이 없고 예금자의 요구에 따라 언제든지 입·출금이 가능한 통장
보증_462,자유롭게 자금관리가 가능한 하나원큐(스마트폰 뱅킹) 전용 정기예금
보증_463,"노후자금, 생활자금, 재투자자금까지! 행복knowhow 연금예금으로 설계하세요!"
보증_464,목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금
보증_465,만기일 이전이라도 양도가 가능하여 단기자금운용에 적합한 시장성 예금
보증_466,은행이 보유한 원어음(상업어음 또는 무역어음)을 근거로 발행하는 배서양도 가능한 어음
보증_467,서울보증보험의 보증서 발급 담보용 정기예금
보증_468,급여 하나로 우대금리 OK! 월복리로 이자에 이자가 OK!
보증_469,"저축금액, 만기일, 자동이체 구간까지 내맘대로 디자인하는 DIY 적금"
보증_470,연금 하나로 우대금리 OK! 월복리로 이자에 이자가 OK!
보증_471,"공과금, 카드대금 이체 등 각종 주거래 건수에 따라 우대금리 OK!"
보증_472,보물단지 우리아이를 위한 적금!
보증_473,내집 마련의 꿈을 하나은행이 더블(Double) 금리로 응원합니다 !
보증_474,나의 걸음수에 따른 우대금리 혜택! 걸음수 UP!금리도 UP!
보증_475,"내집마련의 모든것, 주택청약종합저축으로 모두 해결. 재테크에서도 기본은 주택청약! 2년 이상 가입할 경우 파격적인 금리까지 덤으로~"
보증_476,지역경제 활성화 및 소외계층 지원을 위한 적립식 예금 상품
보증_477,지정단체에 사랑과 나눔을 실천할 수 있는 적금
보증_478,트래블로그 카드 사용 실적으로 우대금리를 제공하는 하나원큐(비대면)전용 상품
보증_479,"아동 양육을 위한 수당(영아[부모급여],아동,양육수당) 수급자 및 임산부 대상 우대 금리를 제공하고, 다자녀 가구 대상 특별 우대금리를 제공하는 상품"
보증_480,"하나원큐 로그인 횟수 & 하나 합 서비스 등록에 따라 우대금리 받고, 적금 모아서 예금으로~ 예금이 모여서 목돈을 제공하는 상품"
보증_481,지금은 저축할 타이밍! 게임하듯 재밌게 타이밍 버튼을 터치하여 저축시 우대금리가 제공 되는 상품
보증_482,군복무중인 직업군인 전용 적금
보증_483,보건복지부 『자산형성지원 통장사업 (운영지침)』에서 정한 대상자가 자산을 형성할 수 있도록 적립금 납입시 정부지원금을 지원하는 적립식 상품
보증_484,보건복지부 『자산형성지원 통장사업 (운영지침)』에서 정한 대상자가 자산을 형성할 수 있도록 적립금 납입시 정부지원금을 지원하는 적립식 상품
보증_485,고객센터를 통해 가입하는 손님케어센터 전용적금
보증_486,계약기간 동안 수시로 적립할 수 있는 자유적립식 상품
보증_487,"청년들의 목돈마련과 내 집 마련을, 청년 우대형 주택청약종합저축으로 시작하세요~"
보증_488,군 복무기간 중 목돈마련 지원을 위한 국군장병 전용 적립식 상품
보증_489,대전광역시 청년기본조례에 따른 『미래두배청년통장 사업운영지침』에서 정한 대상자가 자산을 형성할 수 있도록 적립금 납입시 시지원금을 지원하는 적립식 상품
보증_490,"통일부, 북한이탈주민지원재단(이하 “기관” 이라 함)으로부터 지원대상자로 승인 받은 북한이탈주민이 목돈 마련을 위해 적립금을 납입 하면, 정부지원금 관리기관에서 정부지원금을 추가로 적립하고, 법령이 정한 요건 충족 시 정부지원금을 지급받을 수 있는 상품"
보증_491,미소금융대출 및 채무조정 성실상환자의 자산형성상품
보증_492,정액적립방식 또는 자유적립방식을 선택하여 적립하고 만기에 목돈을 마련하는 상품
보증_493,보건복지부 『자산형성지원 통장사업(운영지침)』에서 정한 대상자가 자산을 형성할 수 있도록 적립금 납입시 정부지원금을 지원하는 적립식 상품
보증_494,"연금 하나면 된다! 국민연금, 기초(노령)연금 등 매월 받는 연금통장으로 딱 맞는 통장!"
보증_495,"이체거래 하나면 된다! 카드대금, 공과금 등 매월 간단한 이체거래로 수수료면제서비스가 제공되는 우리집 생활비 통장!"
보증_496,"우대 금리도 받고, 수수료는 무제한 면제되는 통장!"
보증_497,청년의 경제적 자립과 안정적 금융생활을 지원하는 상품
보증_498,네이버페이 머니 하나 통장 서비스 이용 시 우대금리를 제공하는 통장
보증_499,"구직자의 취업 촉진을 위해 지급하는 구직촉진수당, 취업활동비용, 취업성공수당의 수급권리를 보호하기 위한 압류방지 전용통장"
보증_500,주택담보 노후연금 수급자의 연금수급권리를 보호하기 위한 압류방지 전용통장
보증_501,가맹점 매출대금 결제계좌 포함 각종 이체거래를 하는 주거래 개인사업자 고객에게 수수료 우대서비스를 제공하는 입출금이 자유로운 통장입니다.
보증_502,지역경제 활성화 및 소외계층 지원을 위한 입출금이 자유로운 예금 상품
보증_503,국민연금을 수령하는 수급자 통장의 압류금지로 노후 생활에 안정을 기여합니다.
보증_504,산업재해보험급여가 생활비로 사용될 수 있도록 수급자의 기본적인 보험수급 권리를 보호하기 위한 압류방지 전용통장
보증_505,건설근로자가 퇴직시 건설근로자공제회에서 지급받는 퇴직공제금의 수급권리를 보호하기 위한 압류방지 전용통장
보증_506,공무원연금 수급자의 기본적인 연금수급권리를 보호하기 위한 압류방지 전용통장
보증_507,"『하도급관리시스템』을 통해, 발주한 공사 또는 사업의 대금 및 임금이 하도급자와 근로자에게 기간내 집행될 수 있도록 하기 위한 지급이체 시스템 전용 통장"
보증_508,가입대상 및 예치한도 제한이 없는 수시 입출금 예금
보증_509,증권사에 방문하지 않고서도 증권사의 주식(현물)거래 계좌를 은행에서 신규가 가능합니다.
보증_510,기업의 일시여유자금 운용에 적합한 수시 입출금 예금
보증_511,국가에서 지급하는 각종 복지급여의 수급권리를 보호하기 위한 압류방지 전용통장
보증_512,입출금이 자유로우면서도 높은 수익을 얻을 수 있습니다.목돈을 12개월 미만의 기간으로 운용시에 적당한 상품이며 가입기간이나 가입한도에 제한이 없습니다.
보증_513,"기본금리 1년 1.5%(연, 세전) 제공! 씨티 계좌간 자동이체로 적립하면 0.3% 우대금리 제공하는 적립식 예금"
보증_514,"씨티은행에서 제공받는 자산관리서비스 등급이 높아질수록, 추가 우대금리도 올라가는 여유자금 파킹통장"
보증_515,매월 자동이체 실적이 있으면 디지털뱅킹 및 국내은행 ATM 인출 · 이체 수수료 면제
보증_516,최초 가입 시 최대 3개월 신규가입우대금리 제공 외화예금/펀드/신탁상품 실적에 따른 우대금리
보증_517,"이자의 지급방식을 만기지급식과 이자지급식 중 선택 가능하고, 만기지급식의 경우 최종 회차 포함 3회까지 분할해지가 가능한 정기예금"
보증_518,최초 가입 시 최대 3개월 신규가입우대금리 제공 거래실적이 많을수록 높아지는 금리
보증_519,하루만 맡겨도 착한 금리가 착착 매일의 최종 잔액을 기준으로 잔액 구간별 금리 제공
보증_520,여유자금을 효율적으로 운용할 수 있는 입출금이 자유로운 예금으로 투자자금의 예치 및 재테크 수단으로 활용할 수 있는 상품입니다.
보증_521,만 18세 이하 미성년자 전용 적금상품. 용돈 우대 이율 및 산타클로스의 선물 추가이율 제공하는 자유적립식 예금
보증_522,"생일, 결혼, 출산 등 기쁜 날마다 추가금리를 제공하는 자유적립식 예금"
보증_523,"참 착한 기업 통장은 법인과 개인사업자의 일시 여유 자금을 은행에 예치하여 수시로 입출금을 편리하게 이용할 수 있고, 매일의 최종 잔액에 따라서 높은 금리 혜택이 제공되는 상품입니다. 전월 평균잔고가 500만원 이상인 경우 수수료 면제 혜택을 제공하여 거래의 편의를 도모해 드립니다."
보증_524,언제나 자유롭게 입출금 가능한 예금
보증_525,국민연금 수급자로서 급여를 받는 분의 기초 생활을 보장하기 위하여 타인에 의해 압류가 불가능 하도록 하여 예금을 보호해 주는 상품입니다.
보증_526,기초 생활을 보장하기 위하여 타인에 의해 압류가 불가능하도록 하여 예금을 보호해 주는 상품
보증_527,서민의 재산형성을 돕기 위한 적립식 상품입니다.
보증_528,"만기 범위 내에서 회전주기 설정하면 만기까지 자동갱신 미화(USD), 유로화(EUR), 엔화(JPY)로 개설 가능"
보증_529,인터넷/모바일 전용 외화 정기예금 신규 및 해지 시 환율우대 제공
보증_530,최대 6개 통화를 한 계좌로 관리하는 외화 입출금 통장 11가지 통화 중 원하는 통화 선택 가능
보증_531,"‘참 편리한 자동해외송금’은 ‘참 편리한 자동해외송금 통장’에 송금 하고자 하는 금액을 원화로 입금하면, 입금 당일 자동으로 현지 통화(또는 지정 통화)로 해외 송금이 이루어지는 상품"
보증_532,복잡하지 않고 간단한 적금
보증_533,20대 버킷리스트 목돈 마련을 위해 GO!
보증_534,안정적인 노후자금 운용을 위한 예금
보증_535,안정적인 노후자금 운용을 위한 예금
보증_536,안정적인 노후자금 마련을 위한 적금
보증_537,급여이체실적만으로 더 많은혜택을!
보증_538,"20대 버킷리스트, 자투리 돈 꾸준히 모으자"
보증_539,손자녀 증여자금 마련을 지원하는적금
보증_540,주거래고객님께 더 높은 우대금리를!
보증_541,주거래고객님께 더 높은 우대금리를!
보증_542,우리은행 대표 정기적립식 상품으로 높은 기본금리와 우대혜택으로 금리경쟁력 높은 상품
보증_543,우리닷컴통장은 통장실물을 사용하지 않는 인터넷 전용 통장
보증_544,급여이체를 하는 직장인들에게 수수료 면제 및 다양한 부가서비스 혜택 제공
보증_545,우리아이의 저축습관! 핑크퐁과 아기상어 통장으로 길러주세요!
보증_546,은행 거래에 따른 우대항목 충족 시수수료 우대 제공!!
보증_547,우리아이 청약저축 통장귀여운 핑크퐁과 함께!
보증_548,주택마련의 시작!주택청약권이 주어지는 상품
보증_549,"31일, 100일, 200일동안감정을 기록하면 우대금리를 받을 수 있는심플하고 재미있는 적금!"
보증_550,청년의 목돈마련을 위한 적금
보증_551,아시아나항공 마일리지를 함께 모을 수 있는 달러적립예금
보증_552,예적금 미보유 고객에게 우대금리 혜택을 주는
보증_553,개인사업자 전용 자립자금 지원을 위한 상생 정기적금
보증_554,걸음 수에 따라 우대금리 혜택을 받을 수 있는 적금 상품
보증_555,경찰청 지문사전등록 고객에게 우대금리를 제공하는 자유적금
보증_556,무주택 청년의 내 집 마련 꿈을 응원하는 통장
보증_557,기간도 금액도 내맘대로 예금
보증_558,"국제항공운송협회(IATA) 회원사와 항공화물 취급 사업자 전용수신수수료, 외환수수료, 환율우대 혜택까지 드리는 자유입출식 통장"
보증_559,"국제항공운송협회(IATA) 회원사와 항공화물 취급 사업자 전용수신수수료, 외환수수료, 환율우대 혜택까지 드리는 자유입출식 통장"
보증_560,국민연금을 받으시면전기통신 금융사기 보험과여행패키지무료 제공
보증_561,우리은행 첫거래 고객을 우대하는 비대면 전용예금
보증_562,영업점별 특판적금
보증_563,오픈뱅킹 서비스 이용 시 금액구간별 최대 연 1.0%를 제공하는 파킹통장
보증_564,고용노동부로부터 지급되는 구직촉진수당 등을 수급하며 압류가 방지되고 수수료면제 혜택을 제공하는 통장
보증_565,대중교통 이용 및 환경보호 실천운동 달성 시 우대혜택
보증_566,종이통장 미발행 및 사회적 배려대상자 수수료 혜택!!
보증_567,$1부터 모을 수 있는 USD전용 자유적립예금
보증_568,주택연금 월지급금(건별 185만원까지)의 압류 방지 통장
보증_569,근로복지공단으로부터 지급되는 체당금을 수급하며 압류가 방지되고 수수료면제 혜택을 제공하는 통장
보증_570,유튜브 광고 수익 입금으로 더 많은 혜택을!
보증_571,결제할수록 금리가 올라가는 최고 연 7.0% 고금리 적금(최저 연 2.0% ~ 최고 연 7.0% (2023.04.14. 세금 납부 전))
보증_572,최고 연 8.0% 고금리 적금(최저 연 2.5% ~ 최고 연 8.0% (2023.04.14. 세금 납부 전))
보증_573,복잡한 우대금리조건 NO! Only 급여 이체!
보증_574,"만기일을 일, 월 단위로 자유롭게 선택 가능한 정기예금"
보증_575,법인/개인사업자 전용예금
보증_576,기업고객(개인사업자 포함)전용
보증_577,가입한 동료가많을수록 금리 UP!
보증_578,중견기업 거래실적 등에 따라 +&alpha 우대금리가 제공되는 입출식 통장
보증_579,가맹점매출대금 입금 시수수료 면제 및 우대금리 제공
보증_580,"국군재정관리단에서 지급되는 연금금액 중 185만원 까지 압류가 방지되며, 연금수령이 있는 경우 수수료면제 혜택을 제공하는 통장"
보증_581,계좌 개설만으로도 수수료 면제 WON하던 통장!
보증_582,연금수급 고객에게차별화된 서비스 제공
보증_583,급여소득 고객에게차별화된 서비스 제공
보증_584,외화체크카드 결제계좌 USD 외화보통예금
보증_585,대한민국 의무복무 장병들의 목돈마련을 위한 고금리 적금
보증_586,청년의 주거안정과 목돈마련 기회를 제공하는 청약상품
보증_587,중소기업 전용 자유적립식 예금
보증_588,중소기업 전용 거치식 예금
보증_589,거래 할수록 추가되는수수료 혜택!
보증_590,"공공기관의 공사대금을 수령하는 원, 하도급자 대상의 전용 통장 상품"
보증_591,"편의점 운영 개인사업자분들께 금융수수료 기본면제(월 10회) 우대조건 충족시, 금융수수료 전액 면제!! (인터넷/스마트/텔레뱅킹, 자동화기기 등)"
보증_592,"조세특례제한법 제106조의 4, 제106조의 9에 따라 &ldquo금 사업자&rdquo 및&ldquo스크랩 등 사업자&rdquo의 매매대금의 결제와 부가가치세 납부 지원"
보증_593,안정형부터 고위험까지 다양한 금융상품을담아 관리할 수 있는절세종합통장
보증_594,"국가보훈처에서 지급하는 보훈급여금, 고엽제수당, 참전명예수당 등의 수급권자의 권리를 보호하기 위한 압류방지 통장"
보증_595,은행계좌의 편리함에 CMA의 고수익을 더해 재테크에 보탬이 되는 상품
보증_596,【신탁형】개인종합자산관리계좌(ISA)
보증_597,"공무원연금공단에서 지급되는 연금금액 중 185만원까지 압류가 방지되며, 연금수령 실적이 있는 경우 혜택을 제공하는 통장"
보증_598,미소금융대출 성실상환자 및 채무조정 성실상환자 대상 재산형성 지원을 위한 상품
보증_599,입출금이 자유로운 위안화(CNY) 보통예금
보증_600,만기까지 자유롭게 입금 가능한 위안화 예금
보증_601,회전주기 단위 복리 계산 위안화 정기예금
보증_602,금리가 3개월마다 CD(91일)금리에 따라 변경 적용
보증_603,"건설근로자공제회와 업무협약하여 일용직 건설근로자의 ""퇴직공제금"" 수급권 보호를 위한 압류방지통장!"
보증_604,신용카드 가맹점대금 입금계좌로 사용하고자 하는 사장님께 금리혜택 및 수수료 면제혜택 제공
보증_605,사회소외계층의 자산형성을 돕기 위한 적금
보증_606,"급여이체를 하는 직장인들에게 금리우대, 수수료 면제 혜택 제공"
보증_607,효율적인 외화 매입 간편한 적립식 외화예금
보증_608,본 통장은 법원의 압류결정통지에 대하여 원천적으로 압류가 방지됩니다.
보증_609,"고용노동부로부터 지급되는 실업(구직)급여만 입금가능한 통장으로, 본 통장에 대해서는 압류가 되지 않음"
보증_610,근로복지공단에서 지급되는 산재보상금 수급 전용 압류방지 전용통장
보증_611,우대금리를 기부하는 착한통장
보증_612,만기시 기부하면 우대금리가 플러스 되는 적금
보증_613,[기업자유예금 전환가능]아이사랑카드/아이행복카드/우리국민행복카드 가맹점 결제계좌 등록시 우대혜택을 제공하는 입출금이 자유로운 예금
보증_614,금리 변동주기 복리이자 장기예치 추가금리까지
보증_615,"정부에서 지원하는 기초생활보장급여, 기초연금, 장애인연금, 장애(아동)수당, 한부모가족지원급여, 요양비, 긴급복지지원금, 어선원보험급여, 특별현금급여, 아동(영아)수당, 소기업·소상공인 공제금, 자립수당, 재난적의료비 지원금, 의료급여가압류되지 않는 압류방지 통장"
보증_616,CD는 은행 등록·발행되는 양도성예금증서를 말합니다.
